exp_flood,exp_disas,prior_cc,prior_slr,pol_party,pol_ideol,age,educ,children,income,t,cost,wtp,purchase,sit_worry,sit_prepare,glob_finan,glob_safe,female,minority,university,unemployed,married,standalone,coastal,t0,t1,t2,t3,pol,cc,sit_w,sit_p,glob_f,glob_s,sit_sum,sit,prem_perceived,prem_actual
0,0,5,5,1,1,35,6,0,37500,Treatment 1,34,29,1,4,4,5,4,0,0,1,0,0,0,1,0,1,0,0,-0.0734165833631315,0.973477884601824,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,3,-5,-33.5
1,0,5,5,1,2,35,3,4,37500,Control,100,75,1,4,4,4,4,1,0,0,1,1,1,0,1,0,0,0,0.926583416636868,0.973477884601824,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,3,-25,12.5
1,1,5,5,1,2,35,3,0,37500,Treatment 2b,35,15,1,4,4,4,4,0,0,0,0,0,1,1,0,0,0,1,0.926583416636868,0.973477884601824,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,3,-20,-47.5
1,0,5,4,4,4,55,7,3,62500,Control,101,122,1,5,5,5,5,1,0,1,0,1,1,1,1,0,0,0,5.92658341663687,0.428874872237167,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,21,59.5
0,1,4,4,6,5,45,5,0,37500,Treatment 2a,75,0,0,2,4,4,2,0,0,0,0,0,0,0,0,0,1,0,8.92658341663687,-0.11572814012749,-1.75272135990631,-0.100554120928827,-0.459845988710713,-2.70662113172156,6,1,-75,-62.5
0,0,5,5,2,4,25,6,0,12500,Control,70,100,1,5,5,5,3,0,1,1,1,0,0,1,1,0,0,0,3.92658341663687,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,-1.45681050812719,10,7,30,37.5
0,1,2,4,7,6,25,3,0,87500,Control,24,40,1,4,5,5,5,1,0,0,1,1,1,0,1,0,0,0,10.9265834166369,-1.2049341648568,0.174669826244958,1.04863583254347,0.853999693319896,1.04281073906155,9,5,16,-22.5
0,0,5,5,1,2,25,5,0,87500,Treatment 2a,21,0,0,3,1,5,2,0,0,0,0,0,0,1,0,0,1,0,0.926583416636868,0.973477884601824,-0.789025766830675,-3.54812398134572,0.853999693319896,-2.70662113172156,4,1,-21,-62.5
0,0,5,5,1,1,35,7,0,37500,Treatment 1,48,69,1,5,4,4,4,0,0,1,0,0,0,0,0,1,0,0,-0.0734165833631315,0.973477884601824,1.13836541932059,-0.100554120928827,-0.459845988710713,-0.206999884532818,9,5,21,6.5
1,1,1,4,4,6,55,4,2,62500,Treatment 1,35,50,1,4,4,4,4,0,0,0,0,1,1,1,0,1,0,0,7.92658341663687,-1.74953717722146,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,3,15,-12.5
0,0,5,4,7,7,35,3,0,37500,Treatment 2b,15,0,0,1,5,4,4,0,0,0,0,0,0,1,0,0,0,1,11.9265834166369,0.428874872237167,-2.71641695298194,1.04863583254347,-0.459845988710713,-0.206999884532818,6,1,-15,-62.5
0,0,5,4,4,3,15,3,0,87500,Treatment 2b,45,70,1,5,4,5,5,0,0,0,0,0,0,0,0,0,0,1,4.92658341663687,0.428874872237167,1.13836541932059,-0.100554120928827,0.853999693319896,1.04281073906155,9,5,25,7.5
0,0,2,3,1,1,25,6,0,87500,Treatment 2b,28,49,1,3,2,2,3,0,0,1,0,0,0,1,0,0,0,1,-0.0734165833631315,-1.74953717722146,-0.789025766830675,-2.39893402787342,-3.08753735277193,-1.45681050812719,5,1,21,-13.5
0,0,4,4,6,6,25,6,0,37500,Control,42,36,1,4,4,4,4,0,0,1,0,0,1,0,1,0,0,0,9.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,3,-6,-26.5
0,1,4,3,5,5,45,6,1,87500,Control,75,10,1,4,4,5,4,0,0,1,0,0,1,0,1,0,0,0,7.92658341663687,-0.660331152492146,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,3,-65,-52.5
1,1,4,4,1,6,55,6,1,37500,Treatment 2a,64,64,1,4,4,5,4,1,1,1,0,1,0,1,0,0,1,0,4.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,3,0,1.5
0,1,4,4,6,5,25,6,0,62500,Treatment 2a,50,75,1,4,4,4,4,0,0,1,0,0,0,0,0,0,1,0,8.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,3,25,12.5
0,0,5,5,2,4,35,3,2,37500,Treatment 2b,30,50,1,5,5,5,5,0,0,0,0,1,1,0,0,0,0,1,3.92658341663687,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,20,-12.5
0,0,5,5,2,2,35,5,0,62500,Treatment 2a,30,20,1,5,4,4,4,0,0,0,0,0,1,1,0,0,1,0,1.92658341663687,0.973477884601824,1.13836541932059,-0.100554120928827,-0.459845988710713,-0.206999884532818,9,5,-10,-42.5
1,1,5,4,2,6,35,6,3,62500,Control,65,69,1,4,4,5,4,0,0,1,0,1,0,1,1,0,0,0,5.92658341663687,0.428874872237167,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,3,4,6.5
0,0,4,4,2,2,55,5,3,62500,Control,25,30,1,2,4,4,3,1,0,0,0,1,1,0,1,0,0,0,1.92658341663687,-0.11572814012749,-1.75272135990631,-0.100554120928827,-0.459845988710713,-1.45681050812719,6,1,5,-32.5
0,0,5,5,1,2,25,6,0,150000,Treatment 2a,50,40,1,4,4,5,5,0,0,1,0,0,0,1,0,0,1,0,0.926583416636868,0.973477884601824,0.174669826244958,-0.100554120928827,0.853999693319896,1.04281073906155,8,3,-10,-22.5
0,1,4,4,5,3,35,3,2,62500,Treatment 1,100,120,1,4,4,4,4,1,0,0,0,1,0,1,0,1,0,0,5.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,3,20,57.5
0,1,4,4,6,2,35,7,1,37500,Treatment 2a,71,64,1,3,4,4,3,0,1,1,0,1,0,1,0,0,1,0,5.92658341663687,-0.11572814012749,-0.789025766830675,-0.100554120928827,-0.459845988710713,-1.45681050812719,7,2,-7,1.5
1,1,4,4,7,4,25,6,0,37500,Treatment 2b,59,86,1,4,4,4,5,0,0,1,0,0,0,1,0,0,0,1,8.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,1.04281073906155,8,3,27,23.5
0,1,5,5,2,3,25,6,0,62500,Treatment 2b,35,50,1,4,4,4,4,0,0,1,0,0,0,1,0,0,0,1,2.92658341663687,0.973477884601824,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,3,15,-12.5
0,1,4,4,5,6,35,6,1,62500,Treatment 1,25,25,1,4,4,5,4,1,0,1,0,1,1,0,0,1,0,0,8.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,3,0,-37.5
0,0,4,5,3,3,45,4,0,37500,Treatment 1,5,5,1,2,4,4,4,0,0,0,0,1,1,0,0,1,0,0,3.92658341663687,0.428874872237167,-1.75272135990631,-0.100554120928827,-0.459845988710713,-0.206999884532818,6,1,0,-57.5
1,1,4,4,7,6,25,7,1,37500,Treatment 2a,109,88,1,5,4,4,4,1,0,1,0,1,0,1,0,0,1,0,10.9265834166369,-0.11572814012749,1.13836541932059,-0.100554120928827,-0.459845988710713,-0.206999884532818,9,5,-21,25.5
1,1,3,3,6,6,35,7,2,12500,Treatment 2a,67,70,1,4,3,4,4,1,0,1,0,1,0,1,0,0,1,0,9.92658341663687,-1.2049341648568,0.174669826244958,-1.24974407440113,-0.459845988710713,-0.206999884532818,7,2,3,7.5
0,0,5,5,1,2,35,5,0,37500,Treatment 2a,90,125,1,4,5,4,4,0,1,0,0,0,1,0,0,0,1,0,0.926583416636868,0.973477884601824,0.174669826244958,1.04863583254347,-0.459845988710713,-0.206999884532818,9,5,35,62.5
0,0,4,4,3,2,35,7,2,87500,Control,45,60,1,2,3,4,4,0,0,1,0,1,1,0,1,0,0,0,2.92658341663687,-0.11572814012749,-1.75272135990631,-1.24974407440113,-0.459845988710713,-0.206999884532818,5,1,15,-2.5
0,0,1,1,7,7,65,3,0,62500,Treatment 2a,91,50,1,5,5,4,4,1,0,0,0,1,1,0,0,0,1,0,11.9265834166369,-3.38334621431543,1.13836541932059,1.04863583254347,-0.459845988710713,-0.206999884532818,10,7,-41,-12.5
0,0,2,2,7,6,25,3,0,37500,Treatment 1,20,50,1,5,5,5,5,0,0,0,0,0,0,1,0,1,0,0,10.9265834166369,-2.29414018958612,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,30,-12.5
1,0,2,3,4,5,55,4,1,37500,Treatment 1,40,30,1,3,4,5,4,0,0,0,0,1,1,0,0,1,0,0,6.92658341663687,-1.74953717722146,-0.789025766830675,-0.100554120928827,0.853999693319896,-0.206999884532818,7,2,-10,-32.5
0,0,5,5,7,7,25,6,0,62500,Control,100,0,0,1,5,5,1,0,0,1,0,0,1,0,1,0,0,0,11.9265834166369,0.973477884601824,-2.71641695298194,1.04863583254347,0.853999693319896,-3.95643175531593,6,1,-100,-62.5
0,0,4,4,4,4,45,3,1,37500,Treatment 2b,45,60,1,4,5,5,4,1,0,0,0,0,0,0,0,0,0,1,5.92658341663687,-0.11572814012749,0.174669826244958,1.04863583254347,0.853999693319896,-0.206999884532818,9,5,15,-2.5
1,0,4,4,2,4,25,7,1,87500,Treatment 2b,89,67,1,3,4,4,5,0,1,1,0,1,0,0,0,0,0,1,3.92658341663687,-0.11572814012749,-0.789025766830675,-0.100554120928827,-0.459845988710713,1.04281073906155,7,2,-22,4.5
1,1,5,4,6,5,45,7,1,37500,Treatment 2b,110,110,1,4,4,4,4,0,1,1,0,1,0,1,0,0,0,1,8.92658341663687,0.428874872237167,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,3,0,47.5
1,1,3,3,1,1,25,6,0,87500,Control,63,64,1,3,3,3,3,0,1,1,0,0,1,1,1,0,0,0,-0.0734165833631315,-1.2049341648568,-0.789025766830675,-1.24974407440113,-1.77369167074132,-1.45681050812719,6,1,1,1.5
0,0,4,4,4,5,80,5,2,37500,Treatment 2a,90,106,1,4,4,5,5,1,0,0,0,1,1,1,0,0,1,0,6.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,0.853999693319896,1.04281073906155,8,3,16,43.5
0,0,5,5,6,6,35,6,0,37500,Treatment 1,110,0,0,2,2,4,3,0,0,1,0,0,0,1,0,1,0,0,9.92658341663687,0.973477884601824,-1.75272135990631,-2.39893402787342,-0.459845988710713,-1.45681050812719,4,1,-110,-62.5
1,1,4,5,4,4,25,7,0,12500,Treatment 2b,93,115,1,4,2,1,4,1,1,1,0,1,0,1,0,0,0,1,5.92658341663687,0.428874872237167,0.174669826244958,-2.39893402787342,-4.40138303480254,-0.206999884532818,6,1,22,52.5
0,1,2,2,4,4,45,5,0,12500,Treatment 1,100,0,0,2,3,4,4,0,0,0,0,0,0,1,0,1,0,0,5.92658341663687,-2.29414018958612,-1.75272135990631,-1.24974407440113,-0.459845988710713,-0.206999884532818,5,1,-100,-62.5
0,0,2,3,5,5,65,4,0,12500,Treatment 2a,24,36,1,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,7.92658341663687,-1.74953717722146,-1.75272135990631,-0.100554120928827,-0.459845988710713,-0.206999884532818,6,1,12,-26.5
0,0,4,4,4,4,45,6,0,37500,Treatment 1,29,50,1,4,4,4,4,0,0,1,0,0,0,1,0,1,0,0,5.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,3,21,-12.5
0,1,5,5,2,3,45,6,0,62500,Treatment 1,30,35,1,4,5,4,5,0,1,1,0,0,0,0,0,1,0,0,2.92658341663687,0.973477884601824,0.174669826244958,1.04863583254347,-0.459845988710713,1.04281073906155,9,5,5,-27.5
0,1,5,5,1,1,45,3,0,62500,Treatment 2a,125,125,1,5,5,4,4,0,1,0,0,0,0,1,0,0,1,0,-0.0734165833631315,0.973477884601824,1.13836541932059,1.04863583254347,-0.459845988710713,-0.206999884532818,10,7,0,62.5
1,1,5,4,7,6,25,6,0,37500,Treatment 2a,90,84,1,4,5,4,5,0,0,1,0,0,0,0,0,0,1,0,10.9265834166369,0.428874872237167,0.174669826244958,1.04863583254347,-0.459845988710713,1.04281073906155,9,5,-6,21.5
0,0,4,4,2,6,35,6,3,87500,Treatment 2a,78,64,1,3,4,4,4,0,0,1,0,1,0,1,0,0,1,0,5.92658341663687,-0.11572814012749,-0.789025766830675,-0.100554120928827,-0.459845988710713,-0.206999884532818,7,2,-14,1.5
0,0,5,5,1,1,25,6,0,37500,Treatment 2a,100,110,1,4,4,4,4,0,0,1,0,0,0,0,0,0,1,0,-0.0734165833631315,0.973477884601824,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,4,10,47.5
0,1,5,5,1,1,35,6,0,87500,Treatment 2b,50,4,1,1,5,4,1,1,1,1,0,0,0,1,0,0,0,1,-0.0734165833631315,0.973477884601824,-2.71641695298194,1.04863583254347,-0.459845988710713,-3.95643175531593,6,1,-46,-58.5
0,1,5,5,4,1,25,3,0,37500,Treatment 2b,125,125,1,5,5,5,5,1,0,0,0,0,0,0,0,0,0,1,2.92658341663687,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,0,62.5
0,0,2,2,6,3,25,7,1,37500,Treatment 2a,58,0,0,3,2,2,2,0,0,1,0,0,0,1,0,0,1,0,6.92658341663687,-2.29414018958612,-0.789025766830675,-2.39893402787342,-3.08753735277193,-2.70662113172156,5,1,-58,-62.5
1,0,4,3,1,4,25,6,1,12500,Treatment 2a,96,101,1,4,4,5,4,0,0,1,0,1,0,0,0,0,1,0,2.92658341663687,-0.660331152492146,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,4,5,38.5
1,1,4,4,2,2,35,3,0,37500,Treatment 1,85,100,1,4,4,4,4,1,1,0,0,0,0,1,0,1,0,0,1.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,4,15,37.5
1,1,4,3,2,4,35,3,0,62500,Control,79,101,1,3,3,2,4,1,0,0,0,1,0,0,1,0,0,0,3.92658341663687,-0.660331152492146,-0.789025766830675,-1.24974407440113,-3.08753735277193,-0.206999884532818,6,2,22,38.5
0,0,5,5,1,2,25,6,0,12500,Treatment 2a,100,20,1,4,4,5,5,1,0,1,0,0,0,1,0,0,1,0,0.926583416636868,0.973477884601824,0.174669826244958,-0.100554120928827,0.853999693319896,1.04281073906155,8,4,-80,-42.5
0,1,3,4,4,4,35,3,1,62500,Control,50,30,1,4,3,4,4,0,0,0,0,1,0,1,1,0,0,0,5.92658341663687,-0.660331152492146,0.174669826244958,-1.24974407440113,-0.459845988710713,-0.206999884532818,7,2,-20,-32.5
0,0,4,4,4,4,45,3,0,37500,Treatment 1,12,18,1,3,4,4,4,0,0,0,0,0,0,1,0,1,0,0,5.92658341663687,-0.11572814012749,-0.789025766830675,-0.100554120928827,-0.459845988710713,-0.206999884532818,7,2,6,-44.5
0,0,4,4,6,5,55,6,1,62500,Control,60,60,1,5,5,5,5,0,1,1,0,1,1,1,1,0,0,0,8.92658341663687,-0.11572814012749,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,0,-2.5
0,0,5,4,2,4,65,3,2,62500,Treatment 1,60,60,1,4,5,5,5,1,0,0,0,0,1,1,0,1,0,0,3.92658341663687,0.428874872237167,0.174669826244958,1.04863583254347,0.853999693319896,1.04281073906155,9,5,0,-2.5
0,0,4,4,2,3,35,7,0,62500,Treatment 2a,80,100,1,4,4,5,5,0,0,1,0,0,0,0,0,0,1,0,2.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,0.853999693319896,1.04281073906155,8,4,20,37.5
1,1,4,4,4,4,25,4,0,37500,Treatment 1,70,50,1,4,4,4,3,0,0,0,0,0,0,0,0,1,0,0,5.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,-1.45681050812719,8,4,-20,-12.5
0,1,4,3,4,3,25,6,0,62500,Control,100,100,1,4,5,5,4,0,1,1,0,0,0,0,1,0,0,0,4.92658341663687,-0.660331152492146,0.174669826244958,1.04863583254347,0.853999693319896,-0.206999884532818,9,5,0,37.5
0,0,4,4,2,2,25,3,0,12500,Treatment 1,30,50,1,4,4,5,4,0,1,0,0,0,0,1,0,1,0,0,1.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,4,20,-12.5
0,1,1,1,7,7,35,3,1,87500,Treatment 2a,51,25,1,4,4,5,4,0,0,0,0,1,1,0,0,0,1,0,11.9265834166369,-3.38334621431543,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,4,-26,-37.5
0,0,5,5,1,2,25,6,0,150000,Treatment 2b,100,80,1,5,5,5,5,1,0,1,0,0,1,1,0,0,0,1,0.926583416636868,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,-20,17.5
0,1,3,4,7,6,25,6,0,87500,Treatment 2b,70,51,1,3,3,5,4,1,0,1,0,0,0,1,0,0,0,1,10.9265834166369,-0.660331152492146,-0.789025766830675,-1.24974407440113,0.853999693319896,-0.206999884532818,6,2,-19,-11.5
1,0,4,4,2,3,25,3,1,62500,Control,100,50,1,2,5,3,4,0,1,0,0,1,0,0,1,0,0,0,2.92658341663687,-0.11572814012749,-1.75272135990631,1.04863583254347,-1.77369167074132,-0.206999884532818,7,2,-50,-12.5
0,0,5,5,2,2,25,6,0,62500,Treatment 1,75,50,1,4,4,5,5,1,0,1,0,0,0,1,0,1,0,0,1.92658341663687,0.973477884601824,0.174669826244958,-0.100554120928827,0.853999693319896,1.04281073906155,8,4,-25,-12.5
0,1,4,4,6,5,45,3,0,62500,Treatment 2b,125,125,1,5,5,5,5,1,0,0,0,1,1,1,0,0,0,1,8.92658341663687,-0.11572814012749,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,0,62.5
0,1,4,4,6,5,55,6,0,12500,Treatment 2a,50,35,1,4,4,5,4,1,0,1,0,0,0,1,0,0,1,0,8.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,4,-15,-27.5
0,0,1,1,5,7,35,6,0,12500,Treatment 2b,125,86,1,5,5,5,5,0,0,1,0,0,0,0,0,0,0,1,9.92658341663687,-3.38334621431543,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,-39,23.5
1,1,4,5,3,4,25,3,0,12500,Treatment 1,113,114,1,5,5,4,5,1,1,0,0,0,0,1,0,1,0,0,4.92658341663687,0.428874872237167,1.13836541932059,1.04863583254347,-0.459845988710713,1.04281073906155,10,7,1,51.5
0,0,5,5,2,3,25,4,0,37500,Treatment 2a,75,75,1,4,4,4,4,0,1,0,0,0,0,1,0,0,1,0,2.92658341663687,0.973477884601824,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,4,0,12.5
1,1,3,4,4,6,25,7,1,37500,Control,116,98,1,4,4,4,4,1,1,1,0,0,0,0,1,0,0,0,7.92658341663687,-0.660331152492146,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,4,-18,35.5
1,1,5,5,2,2,25,6,0,12500,Treatment 2a,20,25,1,5,4,5,5,0,0,1,0,0,1,1,0,0,1,0,1.92658341663687,0.973477884601824,1.13836541932059,-0.100554120928827,0.853999693319896,1.04281073906155,9,5,5,-37.5
0,0,4,4,4,4,55,3,0,62500,Treatment 1,125,50,1,3,3,5,5,0,1,0,0,0,0,0,0,1,0,0,5.92658341663687,-0.11572814012749,-0.789025766830675,-1.24974407440113,0.853999693319896,1.04281073906155,6,2,-75,-12.5
0,0,5,4,7,7,25,6,1,87500,Treatment 2b,60,70,1,4,3,5,4,1,1,1,0,1,0,0,0,0,0,1,11.9265834166369,0.428874872237167,0.174669826244958,-1.24974407440113,0.853999693319896,-0.206999884532818,7,2,10,7.5
